ID,seeds2008,seedlings2009,seedlings2010,seedlings2011,g0,g1,g2
68,50,1,3,0,0.02,0.06,0
71,50,11,0,0,0.22,0,0
79,50,12,1,1,0.24,0.02,0.02
65,50,1,16,0,0.02,0.32,0
70,50,12,3,0,0.24,0.06,0
81,50,6,2,0,0.12,0.04,0
